theta;f;class
34;0.76;perto
34;0.77;perto
34;0.78;perto
34;0.79;perto
34;0.8;perto
34;0.81;perto
34;0.82;perto
34;0.83;muito perto
34;0.84;muito perto
34;0.85;longe
34;0.86;longe
34;0.87;perto
34;0.88;perto
34;0.89;acertou
34;0.9;acertou
34;0.91;longe
34;0.92;perto
34;0.93;acertou
34;0.94;perto
34;0.95;perto
34;0.96;perto
34;0.97;perto
34;0.98;perto
34;0.99;perto
35;0.5;longe
35;0.51;longe
35;0.52;longe
35;0.53;longe
35;0.54;longe
35;0.55;longe
35;0.56;longe
35;0.57;longe
35;0.58;longe
35;0.59;longe
35;0.6;longe
35;0.61;longe
35;0.62;longe
35;0.63;longe
35;0.64;longe
35;0.65;longe
35;0.66;longe
35;0.67;longe
35;0.68;longe
35;0.69;longe
35;0.7;longe
35;0.71;longe
35;0.72;longe
35;0.73;longe
35;0.74;longe
35;0.75;longe
35;0.76;perto
35;0.77;perto
35;0.78;perto
35;0.79;perto
35;0.8;perto
35;0.81;perto
35;0.82;muito perto
35;0.83;muito perto
35;0.84;muito perto
35;0.85;longe
35;0.86;acertou
35;0.87;acertou
35;0.88;acertou
35;0.89;acertou
35;0.9;longe
35;0.91;perto
35;0.92;perto
35;0.93;perto
35;0.94;perto
35;0.95;perto
35;0.96;perto
35;0.97;perto
35;0.98;perto
35;0.99;perto
36;0.5;longe
36;0.51;longe
36;0.52;longe
36;0.53;longe
36;0.54;longe
36;0.55;longe
36;0.56;longe
36;0.57;longe
36;0.58;longe
36;0.59;longe
36;0.6;longe
36;0.61;longe
36;0.62;longe
36;0.63;longe
36;0.64;longe
36;0.65;longe
36;0.66;longe
36;0.67;longe
36;0.68;longe
36;0.69;longe
36;0.7;longe
36;0.71;longe
36;0.72;longe
36;0.73;longe
36;0.74;longe
36;0.75;longe
36;0.76;perto
36;0.77;perto
36;0.78;perto
36;0.79;perto
36;0.8;perto
36;0.81;perto
36;0.82;muito perto
36;0.83;muito perto
36;0.84;longe
36;0.85;perto
36;0.86;muito perto
36;0.87;muito perto
36;0.88;acertou
36;0.89;acertou
36;0.9;longe
36;0.91;perto
36;0.92;perto
36;0.93;perto
36;0.94;perto
36;0.95;perto
36;0.96;perto
36;0.97;perto
36;0.98;perto
36;0.99;perto
37;0.5;longe
37;0.51;longe
37;0.52;longe
37;0.53;longe
37;0.54;longe
37;0.55;longe
37;0.56;longe
37;0.57;longe
37;0.58;longe
37;0.59;longe
37;0.6;longe
37;0.61;longe
37;0.62;longe
37;0.63;longe
37;0.64;longe
37;0.65;longe
37;0.66;longe
37;0.67;longe
37;0.68;longe
37;0.69;longe
37;0.7;longe
37;0.71;longe
37;0.72;longe
37;0.73;longe
37;0.74;longe
37;0.75;perto
37;0.76;perto
37;0.77;perto
37;0.78;perto
37;0.79;perto
37;0.8;perto
37;0.81;muito perto
37;0.82;muito perto
37;0.83;longe
37;0.84;perto
37;0.85;muito perto
37;0.86;perto
37;0.87;acertou
37;0.88;acertou
37;0.89;longe
37;0.9;perto
37;0.91;acertou
37;0.92;perto
37;0.93;perto
37;0.94;perto
37;0.95;perto
37;0.96;perto
37;0.97;perto
37;0.98;perto
37;0.99;perto
38;0.5;longe
38;0.51;longe
38;0.52;longe
38;0.53;longe
38;0.54;longe
38;0.55;longe
38;0.56;longe
38;0.57;longe
38;0.58;longe
38;0.59;longe
38;0.6;longe
38;0.61;longe
38;0.62;longe
38;0.63;longe
38;0.64;longe
38;0.65;longe
38;0.66;longe
38;0.67;longe
38;0.68;longe
38;0.69;longe
38;0.7;longe
38;0.71;longe
38;0.72;longe
38;0.73;longe
38;0.74;longe
38;0.75;perto
38;0.76;perto
38;0.77;perto
38;0.78;perto
38;0.79;perto
38;0.8;perto
38;0.81;muito perto
38;0.82;muito perto
38;0.83;longe
38;0.84;acertou
38;0.85;perto
38;0.86;acertou
38;0.87;acertou
38;0.88;muito perto
38;0.89;perto
38;0.9;acertou
38;0.91;acertou
38;0.92;perto
38;0.93;perto
38;0.94;perto
38;0.95;perto
38;0.96;perto
38;0.97;perto
38;0.98;perto
38;0.99;perto
39;0.5;longe
39;0.51;longe
39;0.52;longe
39;0.53;longe
39;0.54;longe
39;0.55;longe
39;0.56;longe
39;0.57;longe
39;0.58;longe
39;0.59;longe
39;0.6;longe
39;0.61;longe
39;0.62;longe
39;0.63;longe
39;0.64;longe
39;0.65;longe
39;0.66;longe
39;0.67;longe
39;0.68;longe
39;0.69;longe
39;0.7;longe
39;0.71;longe
39;0.72;longe
39;0.73;longe
39;0.74;longe
39;0.75;perto
39;0.76;perto
39;0.77;perto
39;0.78;perto
39;0.79;perto
39;0.8;perto
39;0.81;muito perto
39;0.82;perto
39;0.83;longe
39;0.84;perto
39;0.85;muito perto
39;0.86;acertou
39;0.87;acertou
39;0.88;longe
39;0.89;acertou
39;0.9;acertou
39;0.91;perto
39;0.92;perto
39;0.93;perto
39;0.94;perto
39;0.95;perto
39;0.96;perto
39;0.97;perto
39;0.98;perto
39;0.99;muito perto
40;0.5;longe
40;0.51;longe
40;0.52;longe
40;0.53;longe
40;0.54;longe
40;0.55;longe
40;0.56;longe
40;0.57;longe
40;0.58;longe
40;0.59;longe
40;0.6;longe
40;0.61;longe
40;0.62;longe
40;0.63;longe
40;0.64;longe
40;0.65;longe
40;0.66;longe
40;0.67;longe
40;0.68;longe
40;0.69;longe
40;0.7;longe
40;0.71;longe
40;0.72;longe
40;0.73;longe
40;0.74;perto
40;0.75;perto
40;0.76;perto
40;0.77;perto
40;0.78;perto
40;0.79;perto
40;0.8;perto
40;0.81;muito perto
